timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/10/02 11:59:57.329, 0, NVIDIA A10, 0 %, 0 %, 23028 MiB, 1 MiB, 22625 MiB
2025/10/02 11:59:57.361, 0, NVIDIA A10, 0 %, 0 %, 23028 MiB, 1 MiB, 22625 MiB
2025/10/02 12:00:02.374, 0, NVIDIA A10, 0 %, 0 %, 23028 MiB, 1 MiB, 22625 MiB
2025/10/02 12:00:07.377, 0, NVIDIA A10, 0 %, 0 %, 23028 MiB, 1 MiB, 22625 MiB
2025/10/02 12:00:12.384, 0, NVIDIA A10, 0 %, 0 %, 23028 MiB, 1 MiB, 22625 MiB
2025/10/02 12:00:17.386, 0, NVIDIA A10, 0 %, 0 %, 23028 MiB, 1 MiB, 22625 MiB
